Number,Format,Inning,Position,Score,Balls,Strike Rate,Against,Venue,Host Nation,Series,Year,Team Total,Wickets lost,Not Out,MOTM,Win,Captain
1,ODI,2,4,107,114,93.85964912,Sri Lanka,Kolkata,India,Bilateral,2009,316,3,No,No,Yes,No
2,ODI,2,3,102,95,107.3684211,Bangladesh,Mirpur,Bangladesh,Tri-Series,2010,249,4,Yes,Yes,Yes,No
3,ODI,2,3,118,121,97.52066116,Australia,Vizag,India,Bilateral,2010,292,5,No,Yes,Yes,No
4,ODI,1,3,105,104,100.9615385,New Zealand,Guwahati,India,Bilateral,2010,276,10,No,Yes,Yes,No
5,ODI,1,4,100,83,120.4819277,Bangladesh,Mirpur,Bangladesh,World Cup,2011,370,4,Yes,No,Yes,No
6,ODI,1,4,107,93,115.0537634,England,Cardiff,England,Bilateral,2011,304,6,No,No,No,No
7,ODI,2,4,112,98,114.2857143,England,Delhi,India,Bilateral,2011,238,2,Yes,Yes,Yes,No
8,ODI,2,4,117,123,95.12195122,West Indies,Vizag,India,Bilateral,2011,270,5,No,Yes,Yes,No
9,Test,2,6,116,213,54.4600939,Australia,Adelaide,Australia,Bilateral,2012,272,10,No,No,No,No
10,ODI,2,4,133,86,154.6511628,Sri Lanka,Hobart,Australia,Tri-Series,2012,320,4,Yes,Yes,Yes,No
11,ODI,1,3,108,120,90,Sri Lanka,Mirpur,Bangladesh,Asia Cup,2012,304,3,No,Yes,Yes,No
12,ODI,2,3,183,148,123.6486486,Pakistan,Mirpur,Bangladesh,Asia Cup,2012,330,4,No,Yes,Yes,No
13,ODI,1,3,106,113,93.80530973,Sri Lanka,Hambantota,Sri Lanka,Bilateral,2012,314,6,No,Yes,Yes,No
14,ODI,2,3,128,119,107.5630252,Sri Lanka,Colombo,Sri Lanka,Bilateral,2012,255,4,Yes,Yes,Yes,No
15,Test,2,5,103,193,53.36787565,New Zealand,Bengaluru,India,Bilateral,2012,353,10,No,Yes,Yes,No
16,Test,2,5,103,295,34.91525424,England,Nagpur,India,Bilateral,2012,326,9,No,No,Drawn,No
17,Test,2,5,107,206,51.94174757,Australia,Chennai,India,Bilateral,2013,572,10,No,No,Yes,No
18,ODI,1,3,102,83,122.8915663,West Indies,Port Of Spain,West Indies,Tri-Series,2013,311,7,No,Yes,Yes,Yes
19,ODI,2,3,115,108,106.4814815,Zimbabwe,Harare,Zimbabwe,Bilateral,2013,230,4,No,Yes,Yes,Yes
20,ODI,2,3,100,52,192.3076923,Australia,Jaipur,India,Bilateral,2013,362,1,Yes,No,Yes,No
21,ODI,2,3,115,66,174.2424242,Australia,Nagpur,India,Bilateral,2013,351,4,Yes,Yes,Yes,No
22,Test,1,4,119,181,65.74585635,South Africa,Johannesburg,South Africa,Bilateral,2013,280,10,No,Yes,Yes,No
23,ODI,2,3,123,111,110.8108108,New Zealand,Napier,New Zealand,Bilateral,2014,268,10,No,No,No,No
24,Test,4,4,105,135,77.77777778,New Zealand,Wellington,New Zealand,Bilateral,2014,166,3,Yes,No,Drawn,No
25,ODI,2,3,136,122,111.4754098,Bangladesh,Fatullah,Bangladesh,Asia Cup,2014,280,4,No,Yes,Yes,Yes
26,ODI,1,3,127,114,111.4035088,West Indies,Dharamshala,India,Bilateral,2014,330,6,No,Yes,Yes,No
27,ODI,2,4,139,126,110.3174603,Sri Lanka,Ranchi,India,Bilateral,2014,288,3,Yes,No,Yes,Yes
28,Test,2,4,115,184,62.5,Australia,Adelaide,Australia,Bilateral,2014,444,10,No,No,No,Yes
29,Test,4,4,141,175,80.57142857,Australia,Adelaide,Australia,Bilateral,2014,315,10,No,No,No,Yes
30,Test,2,4,169,272,62.13235294,Australia,Melbourne,Australia,Bilateral,2014,465,10,No,No,Drawn,No
31,Test,2,4,147,230,63.91304348,Australia,Sydney,Australia,Bilateral,2015,475,10,No,No,Drawn,Yes
32,ODI,1,3,107,126,84.92063492,Pakistan,Adelaide,Australia,World Cup,2015,300,7,No,Yes,Yes,No
33,Test,2,4,103,191,53.92670157,Sri Lanka,Galle,Sri Lanka,Bilateral,2015,375,10,No,No,No,Yes
34,ODI,1,3,138,140,98.57142857,South Africa,Chennai,India,Bilateral,2015,299,8,No,Yes,Yes,No
35,ODI,1,3,117,117,100,Australia,Melbourne,Australia,Bilateral,2016,295,6,No,No,No,No
36,ODI,2,3,106,92,115.2173913,Australia,Canberra,Australia,Bilateral,2016,323,10,No,No,No,No
37,T20,1,Open,100,63,158.7301587,Gujarat Lions,Rajkot,India,IPL,2016,180,2,Yes,Yes,No,Yes
38,T20,2,Open,108,58,186.2068966,Rising Pune Supergiants,Bengaluru,India,IPL,2016,195,3,Yes,Yes,Yes,Yes
39,T20,1,Open,109,55,198.1818182,Gujarat Lions,Bengaluru,India,IPL,2016,248,3,No,No,Yes,Yes
40,T20,1,Open,113,50,226,Kings XI Punjab,Bengaluru,India,IPL,2016,211,3,No,Yes,Yes,Yes
41,Test,1,4,200,283,70.67137809,West Indies,North Sound,West Indies,Bilateral,2016,566,8,No,No,Yes,Yes
42,Test,1,4,211,366,57.65027322,New Zealand,Indore,India,Bilateral,2016,557,5,No,No,Yes,Yes
43,ODI,2,3,154,134,114.9253731,New Zealand,Mohali,India,Bilateral,2016,289,3,Yes,Yes,Yes,No
44,Test,1,4,167,267,62.54681648,England,Vizag,India,Bilateral,2016,455,10,No,Yes,Yes,Yes
45,Test,2,4,235,340,69.11764706,England,Mumbai,India,Bilateral,2016,631,10,No,Yes,Yes,Yes
46,ODI,2,3,122,105,116.1904762,England,Pune,India,Bilateral,2017,356,7,No,No,Yes,Yes
47,Test,1,4,204,246,82.92682927,Bangladesh,Hyderabad,India,Bilateral,2017,687,6,No,Yes,Yes,Yes
48,ODI,2,3,111,115,96.52173913,West Indies,Kingston,West Indies,Bilateral,2017,206,2,Yes,Yes,Yes,Yes
49,Test,3,4,103,136,75.73529412,Sri Lanka,Galle,Sri Lanka,Bilateral,2017,240,3,Yes,No,Yes,Yes
50,ODI,1,3,131,96,136.4583333,Sri Lanka,Colombo,Sri Lanka,Bilateral,2017,375,5,No,Yes,Yes,Yes
51,ODI,2,3,110,116,94.82758621,Sri Lanka,Colombo,Sri Lanka,Bilateral,2017,239,4,Yes,No,Yes,Yes
52,ODI,1,3,121,125,96.8,New Zealand,Mumbai,New Zealand,Bilateral,2017,280,8,No,No,No,Yes
53,ODI,1,3,113,106,106.6037736,New Zealand,Kanpur,New Zealand,Bilateral,2017,337,6,No,Yes,Yes,Yes
54,Test,3,4,104,119,87.39495798,Sri Lanka,Kolkata,India,Bilateral,2017,352,8,Yes,No,Drawn,Yes
55,Test,2,4,213,267,79.7752809,Sri Lanka,Nagpur,India,Bilateral,2017,610,6,No,Yes,Yes,Yes
56,Test,1,4,243,287,84.66898955,Sri Lanka,Delhi,India,Bilateral,2017,536,7,No,Yes,Drawn,Yes
57,Test,2,4,153,217,70.50691244,South Africa,Centurion,South Africa,Bilateral,2018,307,10,No,No,No,Yes
58,ODI,2,3,112,119,94.11764706,South Africa,Durban,South Africa,Bilateral,2018,270,4,No,Yes,Yes,Yes
59,ODI,1,3,160,159,100.6289308,South Africa,Cape Town,South Africa,Bilateral,2018,303,6,Yes,Yes,Yes,Yes
60,ODI,2,3,129,96,134.375,South Africa,Centurion,South Africa,Bilateral,2018,206,2,Yes,Yes,Yes,Yes
61,Test,2,4,149,225,66.22222222,England,Birmingham,England,Bilateral,2018,274,10,No,No,No,Yes
62,Test,3,4,103,197,52.28426396,England,Nottingham,England,Bilateral,2018,352,7,No,Yes,Yes,Yes
